timestamp,device_id,energy_consumed,device_type,location,data_size,latency,error_rate,protocol_type,air_quality,temperature,humidity,traffic_flow,transaction_id,transaction_status,block_hash,node_id,validation_status,model_version,training_time,model_accuracy,communication_cost,system_status
2020-01-01 01:20:00,device_3,2.49,light bulb,Zone 5,2329,12,0.011,MQTT,61,20.6,67,37,txn_17,confirmed,block_2680,node_3,failed,2,287,0.88,0.06,1
2020-01-01 01:25:00,device_5,0.53,smart appliance,Zone 1,4838,23,0.074,HTTP,79,16.9,69,19,txn_18,failed,block_9638,node_1,failed,4,240,0.73,0.1,1
2020-01-01 01:30:00,device_5,0.79,fan,Zone 5,1101,37,0.054,HTTP,135,23.5,49,45,txn_19,confirmed,block_5320,node_1,failed,4,172,0.77,0.05,2
2020-01-01 01:35:00,device_1,1.81,smart appliance,Zone 4,3028,13,0.078,FTP,65,25.5,74,100,txn_20,confirmed,block_2419,node_3,successful,1,300,0.79,0.11,3
2020-01-01 01:40:00,device_3,3.1,heater,Zone 3,2233,48,0.031,CoAP,55,17.7,76,92,txn_21,pending,block_5384,node_3,successful,2,79,0.94,0.11,2
2020-01-01 01:45:00,device_3,3.92,light bulb,Zone 1,498,40,0.077,CoAP,98,22.6,80,74,txn_22,pending,block_1220,node_2,failed,5,291,0.77,0.12,3
2020-01-01 01:50:00,device_3,4.83,heater,Zone 3,2693,8,0.006,FTP,126,25.5,60,33,txn_23,failed,block_9948,node_2,failed,3,223,0.79,0.08,3
2020-01-01 01:55:00,device_1,3.57,smart appliance,Zone 4,3274,50,0.081,CoAP,128,30.0,41,22,txn_24,failed,block_1022,node_1,failed,5,42,0.9,0.15,1
2020-01-01 02:00:00,device_5,4.02,air conditioner,Zone 3,3947,22,0.007,HTTP,144,17.0,30,68,txn_25,pending,block_3530,node_1,successful,1,276,0.87,0.2,2
2020-01-01 02:05:00,device_1,3.23,fan,Zone 4,3908,32,0.091,HTTP,145,29.1,37,31,txn_26,confirmed,block_7525,node_2,failed,5,34,0.73,0.06,1
2020-01-01 02:10:00,device_1,1.19,air conditioner,Zone 3,2192,31,0.027,CoAP,70,34.5,47,93,txn_27,failed,block_7180,node_2,successful,2,242,0.83,0.16,3
2020-01-01 02:15:00,device_2,2.31,smart appliance,Zone 1,3081,42,0.022,HTTP,63,19.0,67,2,txn_28,pending,block_7781,node_2,successful,4,133,0.88,0.03,2
2020-01-01 02:20:00,device_5,1.82,smart appliance,Zone 5,2622,31,0.065,FTP,70,23.9,73,49,txn_29,failed,block_2894,node_3,successful,4,89,0.9,0.14,1
2020-01-01 02:25:00,device_3,0.43,smart appliance,Zone 5,3884,21,0.014,CoAP,71,16.9,42,28,txn_30,pending,block_4995,node_1,successful,2,265,0.72,0.06,2
2020-01-01 02:30:00,device_1,1.79,fan,Zone 1,2279,27,0.029,FTP,77,26.3,42,28,txn_31,failed,block_9912,node_3,failed,5,116,0.8,0.07,2
2020-01-01 02:35:00,device_4,4.14,smart appliance,Zone 5,1291,46,0.073,CoAP,139,34.1,61,36,txn_32,failed,block_2325,node_2,failed,5,257,0.94,0.08,3
2020-01-01 02:40:00,device_5,1.93,smart appliance,Zone 5,3944,8,0.066,MQTT,67,32.9,73,2,txn_33,failed,block_9879,node_2,failed,3,49,0.75,0.18,2
2020-01-01 02:45:00,device_2,4.48,smart appliance,Zone 2,861,6,0.058,CoAP,68,33.2,36,22,txn_34,confirmed,block_6251,node_2,failed,3,116,0.72,0.14,2
2020-01-01 02:50:00,device_5,2.83,heater,Zone 1,1455,48,0.057,MQTT,104,25.0,32,77,txn_35,failed,block_2238,node_3,failed,1,33,0.72,0.04,2
2020-01-01 02:55:00,device_1,4.87,heater,Zone 5,1087,25,0.081,FTP,109,34.0,79,70,txn_36,pending,block_3309,node_1,successful,2,278,0.94,0.02,1
2020-01-01 03:00:00,device_5,1.35,light bulb,Zone 4,4564,24,0.005,CoAP,114,20.7,67,46,txn_37,confirmed,block_8884,node_3,failed,1,125,0.94,0.06,1
2020-01-01 03:05:00,device_3,1.18,heater,Zone 3,2852,25,0.099,MQTT,134,26.1,45,2,txn_38,pending,block_2545,node_3,successful,5,84,0.84,0.18,3
2020-01-01 03:10:00,device_4,0.88,smart appliance,Zone 2,2960,43,0.094,MQTT,74,18.8,76,47,txn_39,failed,block_8193,node_1,failed,5,117,0.77,0.04,2
2020-01-01 03:15:00,device_3,1.57,heater,Zone 1,1674,24,0.051,HTTP,103,23.0,68,68,txn_40,pending,block_7405,node_3,failed,5,47,0.71,0.13,2
2020-01-01 03:20:00,device_5,4.24,heater,Zone 2,165,22,0.058,HTTP,149,34.9,55,41,txn_41,pending,block_7722,node_1,successful,2,117,0.89,0.19,1
2020-01-01 03:25:00,device_5,3.81,light bulb,Zone 2,1696,18,0.005,MQTT,141,29.0,70,54,txn_42,failed,block_4338,node_2,successful,4,196,0.91,0.12,2
2020-01-01 03:30:00,device_5,2.49,air conditioner,Zone 3,668,21,0.059,CoAP,120,18.2,74,73,txn_43,failed,block_2078,node_2,successful,5,153,0.9,0.19,3
2020-01-01 03:35:00,device_4,0.32,air conditioner,Zone 2,3820,25,0.028,FTP,85,15.9,56,68,txn_44,failed,block_2922,node_3,failed,3,232,0.88,0.08,1
2020-01-01 03:40:00,device_5,0.23,fan,Zone 1,1973,17,0.009,HTTP,120,18.3,66,59,txn_45,pending,block_2436,node_2,failed,5,82,0.81,0.02,3
2020-01-01 03:45:00,device_2,1.76,air conditioner,Zone 2,744,18,0.063,HTTP,67,25.3,38,62,txn_46,pending,block_7534,node_2,failed,2,61,0.9,0.16,3
2020-01-01 03:50:00,device_3,4.86,heater,Zone 5,4626,41,0.008,FTP,90,31.7,30,17,txn_47,failed,block_9766,node_1,successful,3,281,0.87,0.08,3
2020-01-01 03:55:00,device_5,2.3,air conditioner,Zone 2,1745,21,0.092,MQTT,130,24.5,56,36,txn_48,confirmed,block_7671,node_2,failed,5,264,0.95,0.17,1
2020-01-01 04:00:00,device_2,1.69,heater,Zone 5,473,48,0.073,HTTP,101,19.1,65,45,txn_49,failed,block_8726,node_2,failed,2,92,0.9,0.05,1
2020-01-01 04:05:00,device_5,0.52,air conditioner,Zone 5,2304,30,0.015,FTP,134,23.1,44,51,txn_50,failed,block_9890,node_2,successful,5,293,0.83,0.1,2
2020-01-01 04:10:00,device_2,1.94,fan,Zone 2,345,10,0.01,FTP,59,24.0,54,51,txn_51,failed,block_5238,node_2,failed,2,177,0.83,0.13,1
2020-01-01 04:15:00,device_2,1.77,air conditioner,Zone 4,2002,44,0.063,FTP,145,31.7,32,26,txn_52,pending,block_1758,node_3,failed,4,175,0.71,0.1,3
2020-01-01 04:20:00,device_3,0.92,air conditioner,Zone 5,2122,45,0.082,CoAP,96,19.8,75,59,txn_53,failed,block_3474,node_2,failed,3,186,0.79,0.08,1
2020-01-01 04:25:00,device_3,4.63,fan,Zone 3,3068,37,0.029,MQTT,95,20.8,39,88,txn_54,pending,block_8492,node_3,successful,3,100,0.8,0.02,1
2020-01-01 04:30:00,device_2,1.03,light bulb,Zone 1,3817,36,0.036,MQTT,125,29.8,46,75,txn_55,pending,block_3890,node_3,successful,5,110,0.94,0.04,1
2020-01-01 04:35:00,device_5,2.86,fan,Zone 1,4180,12,0.04,CoAP,55,26.7,31,52,txn_56,pending,block_7276,node_3,successful,3,138,0.8,0.09,1
2020-01-01 04:40:00,device_3,0.68,smart appliance,Zone 4,4352,11,0.06,MQTT,82,32.8,54,85,txn_57,confirmed,block_9631,node_2,successful,2,175,0.93,0.07,3
2020-01-01 04:45:00,device_2,3.06,heater,Zone 5,4688,19,0.024,HTTP,118,22.7,37,11,txn_58,confirmed,block_8941,node_1,failed,4,275,0.93,0.19,3
2020-01-01 04:50:00,device_4,1.52,light bulb,Zone 1,2805,22,0.095,MQTT,70,23.5,66,38,txn_59,failed,block_9271,node_2,successful,1,292,0.82,0.12,1
2020-01-01 04:55:00,device_5,3.77,heater,Zone 5,288,29,0.036,MQTT,112,23.4,65,57,txn_60,pending,block_4947,node_3,failed,3,97,0.82,0.05,1
2020-01-01 05:00:00,device_2,2.38,light bulb,Zone 2,3168,30,0.076,HTTP,57,32.1,35,35,txn_61,confirmed,block_5229,node_2,failed,3,43,0.76,0.18,1
2020-01-01 05:05:00,device_3,2.24,light bulb,Zone 1,273,45,0.046,CoAP,135,28.0,50,2,txn_62,pending,block_4888,node_2,successful,2,279,0.74,0.18,1
2020-01-01 05:10:00,device_2,1.26,air conditioner,Zone 1,907,14,0.02,MQTT,145,17.3,76,33,txn_63,failed,block_1857,node_2,failed,5,98,0.72,0.03,3
2020-01-01 05:15:00,device_4,3.17,air conditioner,Zone 4,4493,7,0.059,CoAP,108,31.6,47,85,txn_64,confirmed,block_6285,node_3,failed,3,147,0.78,0.18,3
2020-01-01 05:20:00,device_5,0.44,smart appliance,Zone 3,4497,32,0.05,FTP,84,17.0,74,25,txn_65,confirmed,block_7429,node_3,successful,1,165,0.72,0.16,2
2020-01-01 05:25:00,device_1,3.22,heater,Zone 2,1533,44,0.088,HTTP,101,31.4,64,26,txn_66,confirmed,block_2755,node_1,successful,5,195,0.72,0.19,2
2020-01-01 05:30:00,device_4,3.41,light bulb,Zone 2,4039,28,0.078,HTTP,103,29.5,65,7,txn_67,pending,block_4234,node_2,failed,5,133,0.76,0.02,1
2020-01-01 05:35:00,device_2,2.49,fan,Zone 2,2119,23,0.094,CoAP,100,31.1,33,25,txn_68,confirmed,block_8247,node_1,successful,1,209,0.91,0.14,1
2020-01-01 05:40:00,device_3,4.03,smart appliance,Zone 1,4302,10,0.066,MQTT,143,19.8,69,36,txn_69,pending,block_7905,node_1,successful,5,103,0.73,0.06,3
2020-01-01 05:45:00,device_1,3.87,fan,Zone 5,783,21,0.022,MQTT,60,18.2,53,69,txn_70,pending,block_6039,node_1,successful,2,139,0.83,0.04,1
2020-01-01 05:50:00,device_3,3.4,air conditioner,Zone 2,3257,38,0.02,FTP,98,21.5,56,10,txn_71,failed,block_3518,node_3,successful,5,123,0.88,0.14,3
2020-01-01 05:55:00,device_5,3.81,air conditioner,Zone 2,504,14,0.012,CoAP,138,30.1,37,61,txn_72,confirmed,block_7290,node_2,failed,3,190,0.91,0.11,1
2020-01-01 06:00:00,device_3,2.8,air conditioner,Zone 1,2385,5,0.093,MQTT,104,32.7,54,100,txn_73,pending,block_5202,node_2,failed,2,227,0.77,0.07,3
2020-01-01 06:05:00,device_3,4.63,fan,Zone 1,149,10,0.091,FTP,146,33.0,69,73,txn_74,pending,block_4381,node_3,successful,4,61,0.86,0.19,1
2020-01-01 06:10:00,device_3,2.74,heater,Zone 2,421,27,0.034,CoAP,136,32.3,54,29,txn_75,failed,block_7706,node_3,successful,1,182,0.86,0.19,3
2020-01-01 06:15:00,device_4,3.54,heater,Zone 4,4068,21,0.088,MQTT,58,15.5,32,18,txn_76,confirmed,block_3709,node_2,failed,5,190,0.73,0.08,2
2020-01-01 06:20:00,device_4,2.94,smart appliance,Zone 1,3037,20,0.047,MQTT,133,23.3,68,2,txn_77,confirmed,block_5437,node_2,failed,4,84,0.84,0.07,2
2020-01-01 06:25:00,device_5,3.27,smart appliance,Zone 4,447,10,0.073,HTTP,67,22.2,45,97,txn_78,confirmed,block_5728,node_1,successful,4,281,0.82,0.19,1
2020-01-01 06:30:00,device_3,0.86,light bulb,Zone 2,778,14,0.078,CoAP,61,31.6,62,56,txn_79,confirmed,block_5042,node_2,successful,5,170,0.84,0.08,3
2020-01-01 06:35:00,device_4,1.26,smart appliance,Zone 1,1900,11,0.04,HTTP,139,33.3,59,95,txn_80,pending,block_9952,node_3,successful,3,79,0.76,0.11,3
2020-01-01 06:40:00,device_1,0.76,heater,Zone 3,1590,43,0.024,CoAP,135,16.7,75,89,txn_81,confirmed,block_8985,node_2,failed,1,35,0.82,0.07,3
2020-01-01 06:45:00,device_2,3.32,fan,Zone 5,4364,26,0.067,HTTP,139,34.9,52,10,txn_82,pending,block_6300,node_2,failed,2,43,0.74,0.19,2
2020-01-01 06:50:00,device_4,4.09,air conditioner,Zone 3,1470,41,0.009,FTP,123,32.1,34,94,txn_83,pending,block_3474,node_2,failed,1,123,0.89,0.13,1
2020-01-01 06:55:00,device_5,1.08,light bulb,Zone 3,3066,17,0.084,MQTT,71,22.9,77,56,txn_84,pending,block_8019,node_3,successful,1,87,0.88,0.05,2
2020-01-01 07:00:00,device_2,3.39,air conditioner,Zone 2,2190,21,0.073,FTP,144,29.7,65,4,txn_85,confirmed,block_6912,node_1,successful,5,66,0.89,0.12,1
2020-01-01 07:05:00,device_5,2.43,heater,Zone 4,2988,28,0.041,HTTP,106,19.1,46,0,txn_86,failed,block_6471,node_3,successful,3,72,0.93,0.2,3
2020-01-01 07:10:00,device_5,0.73,light bulb,Zone 3,4387,47,0.083,CoAP,97,34.4,46,65,txn_87,pending,block_9239,node_3,successful,1,279,0.95,0.03,1
2020-01-01 07:15:00,device_2,4.23,smart appliance,Zone 5,3781,13,0.073,CoAP,119,18.1,43,35,txn_88,pending,block_4307,node_3,failed,2,278,0.9,0.08,2
2020-01-01 07:20:00,device_3,0.3,light bulb,Zone 5,4112,9,0.051,CoAP,143,30.1,45,32,txn_89,failed,block_8485,node_3,failed,5,106,0.86,0.18,1
2020-01-01 07:25:00,device_3,2.42,air conditioner,Zone 1,1205,50,0.011,FTP,50,31.5,51,44,txn_90,pending,block_1511,node_1,failed,1,299,0.91,0.07,3
2020-01-01 07:30:00,device_1,1.85,air conditioner,Zone 5,2913,17,0.026,FTP,92,18.6,52,87,txn_91,pending,block_5425,node_2,successful,2,210,0.89,0.06,3
2020-01-01 07:35:00,device_3,1.66,heater,Zone 1,892,8,0.015,CoAP,108,20.2,31,31,txn_92,confirmed,block_3368,node_3,successful,1,288,0.93,0.1,1
2020-01-01 07:40:00,device_1,3.12,fan,Zone 4,1696,41,0.052,MQTT,116,23.2,56,15,txn_93,pending,block_9812,node_1,failed,2,218,0.73,0.08,1
2020-01-01 07:45:00,device_5,2.74,light bulb,Zone 4,3728,20,0.051,HTTP,136,31.8,59,92,txn_94,failed,block_9667,node_2,successful,3,276,0.71,0.07,1
2020-01-01 07:50:00,device_2,3.02,light bulb,Zone 2,1061,11,0.011,HTTP,116,21.3,58,93,txn_95,confirmed,block_6188,node_3,successful,4,75,0.85,0.06,2
2020-01-01 07:55:00,device_3,0.91,light bulb,Zone 5,4233,15,0.062,FTP,101,15.5,30,4,txn_96,pending,block_8076,node_1,successful,2,127,0.8,0.06,3
2020-01-01 08:00:00,device_3,2.08,heater,Zone 4,2940,25,0.017,CoAP,78,29.5,79,43,txn_97,pending,block_3724,node_1,failed,4,300,0.85,0.15,1
2020-01-01 08:05:00,device_4,2.5,heater,Zone 4,2643,43,0.003,CoAP,115,23.4,55,2,txn_98,failed,block_1182,node_1,failed,5,167,0.77,0.16,1
2020-01-01 08:10:00,device_1,3.06,smart appliance,Zone 3,4957,27,0.047,HTTP,84,33.2,77,25,txn_99,failed,block_5549,node_1,successful,2,38,0.93,0.01,2
2020-01-01 08:15:00,device_3,3.88,fan,Zone 2,4586,32,0.071,FTP,58,34.4,69,34,txn_100,pending,block_2813,node_2,successful,2,87,0.77,0.01,1
2020-01-01 08:20:00,device_1,2.15,heater,Zone 4,1993,8,0.007,FTP,123,34.3,69,11,txn_101,confirmed,block_6953,node_2,successful,4,144,0.83,0.2,2
2020-01-01 08:25:00,device_1,2.62,fan,Zone 2,4641,30,0.076,HTTP,71,29.2,47,4,txn_102,confirmed,block_4398,node_3,failed,2,258,0.73,0.11,3
2020-01-01 08:30:00,device_2,3.85,heater,Zone 5,4587,34,0.1,CoAP,58,33.9,68,38,txn_103,failed,block_2551,node_3,failed,1,61,0.8,0.19,2
2020-01-01 08:35:00,device_1,4.49,fan,Zone 5,4034,38,0.029,MQTT,97,16.8,60,56,txn_104,failed,block_6858,node_1,successful,5,168,0.8,0.11,1
2020-01-01 08:40:00,device_4,0.54,heater,Zone 5,1467,32,0.092,MQTT,89,29.1,32,21,txn_105,pending,block_7357,node_2,successful,5,136,0.94,0.05,1
2020-01-01 08:45:00,device_3,0.32,smart appliance,Zone 3,4110,50,0.044,HTTP,136,32.4,49,78,txn_106,confirmed,block_5865,node_2,failed,5,212,0.77,0.05,3
2020-01-01 08:50:00,device_4,4.92,air conditioner,Zone 5,2925,36,0.042,HTTP,141,33.2,70,84,txn_107,failed,block_2835,node_1,failed,1,300,0.87,0.12,3
2020-01-01 08:55:00,device_2,2.57,smart appliance,Zone 1,372,9,0.078,HTTP,78,27.9,54,83,txn_108,pending,block_5123,node_1,successful,5,109,0.81,0.05,2
2020-01-01 09:00:00,device_5,2.27,light bulb,Zone 3,2870,49,0.036,HTTP,82,34.9,55,5,txn_109,failed,block_7894,node_1,failed,1,206,0.8,0.17,2
2020-01-01 09:05:00,device_3,1.72,fan,Zone 2,1643,24,0.085,CoAP,123,27.7,33,32,txn_110,pending,block_9132,node_2,failed,3,277,0.79,0.2,2
2020-01-01 09:10:00,device_4,4.77,light bulb,Zone 3,381,18,0.051,MQTT,61,24.0,49,56,txn_111,failed,block_4698,node_3,successful,3,244,0.93,0.02,2
2020-01-01 09:15:00,device_1,0.19,smart appliance,Zone 2,4217,35,0.02,CoAP,92,28.7,64,36,txn_112,failed,block_1918,node_2,successful,4,150,0.92,0.15,3
2020-01-01 09:20:00,device_1,1.65,air conditioner,Zone 5,3983,39,0.056,HTTP,88,33.4,32,27,txn_113,confirmed,block_9475,node_1,successful,1,33,0.71,0.03,3
2020-01-01 09:25:00,device_5,2.1,light bulb,Zone 3,3230,17,0.052,FTP,133,34.7,69,20,txn_114,pending,block_5676,node_2,failed,3,51,0.92,0.09,3
2020-01-01 09:30:00,device_3,4.02,air conditioner,Zone 5,2004,32,0.068,FTP,67,18.0,56,36,txn_115,failed,block_4895,node_2,successful,2,143,0.92,0.02,3
2020-01-01 09:35:00,device_4,1.05,heater,Zone 2,4416,10,0.061,HTTP,130,17.7,72,92,txn_116,failed,block_3021,node_1,failed,1,263,0.85,0.07,3
2020-01-01 09:40:00,device_4,3.96,fan,Zone 2,2072,20,0.023,CoAP,148,30.1,66,38,txn_117,failed,block_9106,node_2,successful,2,52,0.84,0.13,2
2020-01-01 09:45:00,device_2,1.84,fan,Zone 4,1080,5,0.061,CoAP,84,30.1,36,51,txn_118,failed,block_9789,node_1,successful,2,47,0.75,0.18,2
2020-01-01 09:50:00,device_2,3.99,air conditioner,Zone 2,3905,47,0.038,CoAP,56,20.1,53,85,txn_119,confirmed,block_5933,node_1,failed,2,122,0.79,0.15,3
2020-01-01 09:55:00,device_5,0.57,smart appliance,Zone 2,801,5,0.052,FTP,110,17.4,63,69,txn_120,failed,block_2032,node_1,successful,2,41,0.76,0.04,3
2020-01-01 10:00:00,device_3,4.36,fan,Zone 1,2175,31,0.05,HTTP,82,16.1,68,95,txn_121,pending,block_2858,node_3,failed,5,209,0.84,0.2,1
2020-01-01 10:05:00,device_5,2.98,light bulb,Zone 5,4156,48,0.005,HTTP,107,29.6,48,77,txn_122,confirmed,block_1685,node_1,successful,2,217,0.72,0.19,3
2020-01-01 10:10:00,device_2,1.27,smart appliance,Zone 4,4946,15,0.065,CoAP,149,32.0,45,90,txn_123,failed,block_6272,node_3,successful,4,195,0.82,0.19,1
2020-01-01 10:15:00,device_3,4.39,fan,Zone 4,2652,34,0.044,CoAP,96,25.4,33,14,txn_124,pending,block_1416,node_3,successful,2,134,0.73,0.17,1
2020-01-01 10:20:00,device_5,1.54,air conditioner,Zone 2,1405,43,0.053,HTTP,139,17.3,39,18,txn_125,failed,block_8238,node_3,failed,3,44,0.71,0.07,3
2020-01-01 10:25:00,device_3,3.02,heater,Zone 2,690,9,0.061,FTP,134,26.3,46,23,txn_126,failed,block_4345,node_1,successful,4,129,0.85,0.13,2
2020-01-01 10:30:00,device_3,0.54,light bulb,Zone 3,1580,49,0.098,MQTT,102,22.6,43,67,txn_127,confirmed,block_9119,node_3,successful,1,241,0.83,0.05,3
2020-01-01 10:35:00,device_3,1.7,light bulb,Zone 2,3708,27,0.053,HTTP,90,34.9,47,54,txn_128,failed,block_2606,node_1,successful,1,271,0.74,0.08,2
2020-01-01 10:40:00,device_2,4.9,air conditioner,Zone 3,2340,43,0.1,CoAP,145,30.7,48,83,txn_129,pending,block_4053,node_2,failed,4,274,0.95,0.05,2
2020-01-01 10:45:00,device_4,4.16,heater,Zone 4,291,48,0.074,HTTP,82,16.0,38,52,txn_130,pending,block_7147,node_1,failed,3,71,0.78,0.1,3
2020-01-01 10:50:00,device_2,4.91,fan,Zone 4,2882,35,0.08,HTTP,53,25.0,59,12,txn_131,pending,block_5984,node_2,failed,2,64,0.79,0.13,2
2020-01-01 10:55:00,device_5,4.75,heater,Zone 5,324,46,0.089,FTP,108,22.6,41,75,txn_132,pending,block_7301,node_1,failed,1,88,0.72,0.04,1
2020-01-01 11:00:00,device_5,0.44,light bulb,Zone 5,730,31,0.02,FTP,82,24.0,53,13,txn_133,confirmed,block_2487,node_2,successful,5,113,0.74,0.07,3
2020-01-01 11:05:00,device_3,2.99,air conditioner,Zone 3,760,44,0.041,CoAP,75,18.0,76,13,txn_134,confirmed,block_3524,node_2,failed,4,134,0.91,0.06,2
2020-01-01 11:10:00,device_4,0.57,light bulb,Zone 3,1953,20,0.056,CoAP,148,32.5,62,86,txn_135,failed,block_6692,node_2,successful,3,177,0.92,0.03,2
2020-01-01 11:15:00,device_4,1.25,light bulb,Zone 2,2637,37,0.051,MQTT,130,27.4,65,73,txn_136,pending,block_8615,node_3,successful,2,174,0.94,0.02,1
2020-01-01 11:20:00,device_1,3.02,heater,Zone 4,2215,23,0.06,FTP,56,18.4,73,99,txn_137,failed,block_3453,node_3,successful,2,154,0.89,0.05,3
2020-01-01 11:25:00,device_2,1.12,light bulb,Zone 4,781,33,0.018,FTP,141,23.8,57,62,txn_138,failed,block_6850,node_3,failed,3,37,0.92,0.03,3
2020-01-01 11:30:00,device_5,3.62,light bulb,Zone 2,961,37,0.095,HTTP,80,25.5,71,34,txn_139,confirmed,block_7514,node_2,failed,3,244,0.72,0.08,3
2020-01-01 11:35:00,device_5,4.93,smart appliance,Zone 5,3765,33,0.086,FTP,150,24.5,57,14,txn_140,failed,block_4098,node_3,successful,3,78,0.84,0.1,1
2020-01-01 11:40:00,device_3,0.49,air conditioner,Zone 1,4426,19,0.062,FTP,113,20.6,56,27,txn_141,confirmed,block_4774,node_3,successful,2,156,0.71,0.04,1
2020-01-01 11:45:00,device_3,3.88,smart appliance,Zone 5,878,15,0.09,FTP,111,34.8,69,77,txn_142,confirmed,block_7159,node_3,successful,1,283,0.76,0.02,3
2020-01-01 11:50:00,device_4,3.65,air conditioner,Zone 3,929,9,0.056,MQTT,106,33.9,40,23,txn_143,failed,block_4800,node_1,successful,5,121,0.75,0.04,1
2020-01-01 11:55:00,device_3,0.17,light bulb,Zone 5,4266,33,0.081,CoAP,101,20.4,33,90,txn_144,pending,block_1221,node_3,failed,2,258,0.88,0.16,3
2020-01-01 12:00:00,device_1,4.03,smart appliance,Zone 4,2819,31,0.016,FTP,89,28.3,62,86,txn_145,pending,block_3767,node_1,successful,4,253,0.72,0.15,1
2020-01-01 12:05:00,device_4,4.86,light bulb,Zone 2,3792,47,0.019,FTP,122,16.3,74,80,txn_146,pending,block_2181,node_1,successful,5,115,0.78,0.1,3
2020-01-01 12:10:00,device_1,3.87,heater,Zone 2,262,28,0.086,MQTT,145,28.3,69,79,txn_147,failed,block_6026,node_1,failed,3,269,0.89,0.2,3
2020-01-01 12:15:00,device_5,3.53,smart appliance,Zone 3,2845,18,0.049,HTTP,53,22.9,68,28,txn_148,failed,block_9787,node_3,successful,2,193,0.91,0.05,1
2020-01-01 12:20:00,device_1,2.23,smart appliance,Zone 3,3946,26,0.078,HTTP,90,20.0,54,16,txn_149,pending,block_8163,node_2,failed,2,295,0.87,0.11,1
2020-01-01 12:25:00,device_2,1.46,heater,Zone 1,4535,50,0.095,FTP,134,21.3,34,29,txn_150,pending,block_1854,node_3,failed,5,274,0.74,0.08,1
2020-01-01 12:30:00,device_4,1.65,smart appliance,Zone 5,4841,27,0.037,HTTP,100,26.0,73,0,txn_151,failed,block_8686,node_1,successful,4,233,0.78,0.05,3
2020-01-01 12:35:00,device_3,4.36,air conditioner,Zone 5,4972,22,0.073,CoAP,53,17.7,33,48,txn_152,failed,block_4985,node_3,failed,2,143,0.87,0.02,2
2020-01-01 12:40:00,device_4,3.72,fan,Zone 5,4972,46,0.05,FTP,114,30.1,31,92,txn_153,failed,block_4726,node_3,failed,4,299,0.93,0.05,2
